"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.50979733185885e-41,0.392840151107825,0.307,0.206,3.79396971522811e-37,"16","Avl9"
1.77999372001685e-41,0.444637200041531,0.27,0.177,4.47294621903033e-37,"16","Ccdc115"
1.8090113435286e-41,0.439539355245643,0.275,0.181,4.54586460515302e-37,"16","Vps41"
4.83481619743893e-41,0.38213670135597,0.331,0.227,1.21494096225443e-36,"16","Prdm2"
7.13720641089295e-41,0.43209800369275,0.266,0.172,1.79350859899329e-36,"16","Dmtf1"
1.61932593444149e-40,0.37218162755207,0.337,0.231,4.06920414065802e-36,"16","Zfp871"
1.89933095475865e-40,0.30335978743464,0.404,0.287,4.77282875621302e-36,"16","Gm16286"
2.25518228253111e-40,0.267487161298938,0.36,0.247,5.66704755777243e-36,"16","Uvrag"
2.83994441725742e-40,0.279563858631852,0.44,0.317,7.13649632612617e-36,"16","Celf1"
3.07558548147508e-40,0.480586951464142,0.272,0.181,7.72863875639873e-36,"16","Zfp24"
4.0582477784864e-40,0.430954876888454,0.291,0.195,1.01979708425585e-35,"16","Nbr1"
4.20884101636014e-40,0.468215584346931,0.266,0.176,1.05763965900114e-35,"16","Fuom"
4.2163219185202e-40,0.380073731345792,0.338,0.235,1.05951953490494e-35,"16","Mrpl11"
4.52178168376965e-40,0.411874710466249,0.298,0.203,1.13627851931448e-35,"16","Clpp"
4.97059652792425e-40,0.313414919124757,0.364,0.256,1.24906120150208e-35,"16","Mocs2"
5.05524268928787e-40,0.287173875698543,0.429,0.308,1.27033193539115e-35,"16","Rnps1"
5.36504688355817e-40,0.387299385985021,0.284,0.188,1.34818263136933e-35,"16","Heca"
5.41931580241853e-40,0.456373172467394,0.264,0.174,1.36181986798975e-35,"16","Coa6"
5.96958031136848e-40,0.278652040306851,0.32,0.215,1.50009583644379e-35,"16","Gk5"
6.84096620748172e-40,0.340393139937876,0.357,0.25,1.71906639827808e-35,"16","Plxnb2"
8.20089592653854e-40,0.274232638161609,0.465,0.344,2.06080313737987e-35,"16","Usp9x"
1.38518923386574e-39,0.306638978891598,0.437,0.319,3.48084202578122e-35,"16","Cir1"
1.76061613116195e-39,0.3708182112076,0.344,0.241,4.42425227599688e-35,"16","Fam76a"
2.47960431037916e-39,0.413309409592591,0.309,0.212,6.23099767155179e-35,"16","Snrpa"
2.62123218868485e-39,0.286924781148738,0.454,0.336,6.58689436694615e-35,"16","Pcnp"
3.12677434059784e-39,0.376881976816077,0.32,0.219,7.85727124048831e-35,"16","Helz"
3.31160031927481e-39,0.283609688701917,0.375,0.264,8.32172044230567e-35,"16","Tob1"
3.34042570685547e-39,0.258243412964579,0.464,0.338,8.3941557587571e-35,"16","R3hdm2"
3.97251425903619e-39,0.396870900059274,0.265,0.173,9.98253108153204e-35,"16","Bcl2l1"
