"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002683","negative regulation of immune system process","7/33","489/15262",0.0143149284253579,6.62043750387309,5.88034729633773,6.87802303195746e-05,0.000952733560722996,0.000686461557965345,"Dgkz/Ifi203/Ifi209/Ifi213/Isg15/Parp14/Trim30a",7
"GO:0030224","monocyte differentiation","3/33","39/15262",0.0769230769230769,35.5757575757576,10.0639079804937,7.98221286053729e-05,0.0010661955749432,0.000768212967029153,"Ifi203/Ifi209/Ifi213",3
"GO:0060338","regulation of type I interferon-mediated signaling pathway","3/33","39/15262",0.0769230769230769,35.5757575757576,10.0639079804937,7.98221286053729e-05,0.0010661955749432,0.000768212967029153,"Irf7/Isg15/Zbp1",3
"GO:0032728","positive regulation of interferon-beta production","3/33","44/15262",0.0681818181818182,31.5330578512397,9.44127443521558,0.000114827323944665,0.00150685681246683,0.0010857172642598,"Ifih1/Irf7/Isg15",3
"GO:0031348","negative regulation of defense response","5/33","228/15262",0.0219298245614035,10.14221158958,6.47432045849536,0.000120138937433334,0.00154937802069197,0.00111635455473443,"Ifi203/Ifi209/Ifi213/Isg15/Parp14",5
"GO:0051100","negative regulation of binding","4/33","122/15262",0.0327868852459016,15.1634376552409,7.31136433212002,0.000132922811816135,0.00168519090234693,0.00121421016324462,"Ifi203/Ifi209/Ifi213/Sp100",4
"GO:0070106","interleukin-27-mediated signaling pathway","2/33","10/15262",0.2,92.4969696969697,13.4727448568664,0.000201825231012587,0.00251608787995692,0.00181288628558675,"Oasl2/Stat1",2
"GO:0042149","cellular response to glucose starvation","3/33","55/15262",0.0545454545454545,25.2264462809917,8.3784186597104,0.000223806677879355,0.00274438352547143,0.00197737737833011,"Ifi203/Ifi209/Ifi213",3
"GO:0001959","regulation of cytokine-mediated signaling pathway","4/33","141/15262",0.0283687943262411,13.1201375456695,6.73038055025222,0.000231968172073794,0.00279858375340642,0.0020164296112357,"Irf7/Isg15/Parp14/Zbp1",4
"GO:0072331","signal transduction by p53 class mediator","4/33","143/15262",0.027972027972028,12.9366391184573,6.67576933061494,0.000244815669295648,0.00290670032751023,0.00209432953516076,"Ifi203/Ifi209/Ifi213/Sp100",4
"GO:0001961","positive regulation of cytokine-mediated signaling pathway","3/33","57/15262",0.0526315789473684,24.341307814992,8.2183034753563,0.000248878724212479,0.00290877008923335,0.00209582083547351,"Irf7/Parp14/Zbp1",3
"GO:0032731","positive regulation of interleukin-1 beta production","3/33","61/15262",0.0491803278688525,22.7451564828614,7.92144020103497,0.000304325699287707,0.00350208650872623,0.0025233159196001,"Ifi203/Ifi209/Ifi213",3
"GO:0031663","lipopolysaccharide-mediated signaling pathway","3/33","63/15262",0.0476190476190476,22.023088023088,7.78344836537169,0.000334803091984304,0.00368283401182734,0.00265354772594371,"Cd180/Stat1/Trim30a",3
"GO:0032608","interferon-beta production","3/33","63/15262",0.0476190476190476,22.023088023088,7.78344836537169,0.000334803091984304,0.00368283401182734,0.00265354772594371,"Ifih1/Irf7/Isg15",3
"GO:0032648","regulation of interferon-beta production","3/33","63/15262",0.0476190476190476,22.023088023088,7.78344836537169,0.000334803091984304,0.00368283401182734,0.00265354772594371,"Ifih1/Irf7/Isg15",3
"GO:0051865","protein autoubiquitination","3/33","65/15262",0.0461538461538462,21.3454545454545,7.65169968429344,0.000367183575901702,0.00398048282281845,0.00286800901390803,"Rnf10/Rnf213/Trim30a",3
"GO:0051098","regulation of binding","5/33","300/15262",0.0166666666666667,7.70808080808081,5.46231649943585,0.000428808045118375,0.00458212025355063,0.00330149953534749,"Ifi203/Ifi209/Ifi213/Sp100/Stmn1",5
"GO:0032732","positive regulation of interleukin-1 production","3/33","71/15262",0.0422535211267606,19.5416133162612,7.28947557216712,0.000476235261217075,0.00501723909000524,0.00361501043355289,"Ifi203/Ifi209/Ifi213",3
"GO:0009267","cellular response to starvation","4/33","181/15262",0.0220994475138122,10.2206596350243,5.80896796306556,0.000598445750930114,0.00619053572255407,0.00446039162672063,"Eif2ak2/Ifi203/Ifi209/Ifi213",4
"GO:0071479","cellular response to ionizing radiation","3/33","77/15262",0.038961038961039,18.0188902007084,6.96918468585203,0.000604156561158351,0.00619053572255407,0.00446039162672063,"Ifi203/Ifi209/Ifi213",3
"GO:0060340","positive regulation of type I interferon-mediated signaling pathway","2/33","18/15262",0.111111111111111,51.3872053872054,9.95680099722656,0.000678816519669001,0.00686155076638395,0.004943869958329,"Irf7/Zbp1",2
"GO:0032102","negative regulation of response to external stimulus","5/33","337/15262",0.0148367952522255,6.86179300422624,5.06525170689095,0.000727355918942696,0.00725416303158849,0.0052267541122619,"Ifi203/Ifi209/Ifi213/Isg15/Parp14",5
"GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","3/33","90/15262",0.0333333333333333,15.4161616161616,6.38501986708753,0.000951919161352306,0.00936888858804638,0.00675045167053159,"Ifi203/Ifi209/Ifi213",3
"GO:0060333","type II interferon-mediated signaling pathway","2/33","22/15262",0.0909090909090909,42.0440771349862,8.96772175565399,0.00101935083504013,0.00982185288776659,0.00707682054395791,"Parp14/Stat1",2
"GO:0042594","response to starvation","4/33","209/15262",0.0191387559808612,8.8513846599971,5.32011034485739,0.00102420391075641,0.00982185288776659,0.00707682054395791,"Eif2ak2/Ifi203/Ifi209/Ifi213",4
"GO:0032651","regulation of interleukin-1 beta production","3/33","93/15262",0.032258064516129,14.9188660801564,6.26728764573503,0.00104684567567281,0.00991190589118051,0.00714170534236479,"Ifi203/Ifi209/Ifi213",3
"GO:0032611","interleukin-1 beta production","3/33","97/15262",0.0309278350515464,14.3036551077788,6.11854854378979,0.00118245605606721,0.0110559641242284,0.00796601974613697,"Ifi203/Ifi209/Ifi213",3
"GO:0032874","positive regulation of stress-activated MAPK cascade","2/33","24/15262",0.0833333333333333,38.540404040404,8.5674849766831,0.00121463721009531,0.0110798613798938,0.00798323814594093,"Arl6ip5/Eif2ak2",2
