"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Isg15",9.09205181628701e-07,1.72429054164525,1,0.9,0.0228474170091476
"Stat1",9.32341858742803e-07,0.40796636344166,1,1,0.0234288185683479
"Ifi213",9.34391809901225e-07,0.98935783680481,0.9,0.9,0.0234803317910079
"Pcp4l1",1.03997893645663e-06,1.4001834720673,0.9,0.9,0.0261336306942186
"Irf7",1.3783694301608e-06,1.49867334871413,1,0.9,0.0346370454105109
"Sp110",1.7331743317022e-06,0.810435102744577,1,0.9,0.0435529377813446
"H2-T24",1.808531794199e-06,1.17081685924237,1,0.9,0.0454465954564266
"Stom",1.81575977131687e-06,1.33115243603891,1,0.9,0.0456282272934216
"Cmpk2",2.31606222485191e-06,0.96647574085899,0.9,0.6,0.0582003276483036
"Tor3a",2.48555298745277e-06,0.688029915857864,1,0.9,0.0624594610217008
"Cystm1",2.63520012391284e-06,1.46851031589027,1,0.9,0.0662199439138058
"Mid1",2.7091712288119e-06,0.857170145782248,1,0.9,0.0680787638088142
"Olfm1",2.77227090251805e-06,1.32947934341967,1,0.9,0.0696643955093761
"AW011738",3.28102216869479e-06,1.16270232101871,1,0.8,0.0824488060771314
"Ddx58",3.49001625948248e-06,-0.43785408453505,0.9,1,0.0877006185845353
"Ly6e",3.64178213998251e-06,0.561200108188167,1,1,0.0915143433956205
"Dusp1",3.88352855374945e-06,-0.983364131336409,1,1,0.09758918902717
"Znfx1",4.13161393205693e-06,0.674312131190464,1,0.9,0.103823326498659
"Slfn5",4.39356415858784e-06,0.344189384842717,1,1,0.110405873741154
"Cby1",5.27532779517496e-06,1.05980741479308,1,0.8,0.132563712164952
"Sod1",5.72729150902021e-06,0.146980529439806,1,1,0.143921108330169
"Ly6c2",6.12321932591065e-06,2.33305192429745,0.9,0.6,0.153870378440809
"Ift88",6.26316701080802e-06,0.94128487805429,0.9,0.6,0.157387123814595
"Dhx58",6.61998261371971e-06,0.981741942330343,1,0.9,0.166353543100163
"Daxx",7.11098789844416e-06,0.692788409108695,1,0.9,0.178692014900003
"Ifit3",7.94534295876207e-06,1.47444571750182,1,0.9,0.199658523210732
"Scn9a",8.83773569010995e-06,1.16034714786397,1,0.8,0.222083460156773
"Ifit1",9.21689479930269e-06,1.0227165687144,0.9,0.9,0.231611349411677
"Chmp4b",9.49374385007512e-06,0.585018241151319,1,0.9,0.238568289208538
"mt-Nd6",9.82220970461034e-06,1.21325763507,1,0.9,0.246822307667153
"Ifi204",1.12001967461448e-05,0.703693399766483,1,0.9,0.281449744033873
"Morn2",1.21985830282184e-05,0.895491308996244,0.9,0.7,0.3065381929161
"Hist1h2ap",1.38102010934929e-05,1.06733898680474,0.9,0.5,0.347036543278382
"Ric8b",1.48387595520164e-05,0.979192827537512,0.9,0.4,0.37288318878262
"Ncam1",1.70791689942916e-05,1.40400449655263,1,0.9,0.429182437657554
"Ifit2",1.8685706382341e-05,1.57366273354658,1,0.9,0.469553115681846
"Jakmip1",2.04289527218954e-05,0.83129496036208,0.8,0.2,0.513359152948508
"Ppa1",2.18951191898956e-05,0.994450497335747,1,0.9,0.550202450122887
"Usp18",2.23172527728172e-05,0.920459352730861,1,0.9,0.560810244928123
"Col1a2",2.40975494058059e-05,1.54113276790277,0.9,0.5,0.605547319018497
"Ccnb2",2.52129571710684e-05,0.88527606836514,0.8,0,0.633576400751778
"Plekhb1",2.60088910608493e-05,1.25678406236528,1,0.8,0.653577423468081
"Hmgn3",2.88040394535494e-05,1.34323378762236,1,0.9,0.723816707428242
"Tars",2.94111422617337e-05,0.667577033011315,0.9,0.9,0.739072593895105
"Gfy",2.96553737176866e-05,1.49639683957019,1,0.9,0.745209886151747
"Lgals9",3.01500120443857e-05,0.044865186317125,1,1,0.757639652663368
"Omp",3.39049831798775e-05,0.885561685308254,1,1,0.851998322327141
"LTO1",3.65932978647231e-05,0.854760959561911,1,0.9,0.919552982042627
"Aplp1",4.08895387005698e-05,1.33270484849868,1,0.8,1
"Batf3",4.26837994315743e-05,0.681006832418171,1,0.9,1
"H2-T22",4.45986495548943e-05,0.759284505968344,1,0.9,1
"Ifit3b",4.54786866764262e-05,1.04795988214081,0.9,0.9,1
"Ypel3",4.65182925920562e-05,-0.627616260560476,1,1,1
"Oas3",5.35055076946962e-05,0.960919669332952,0.9,0.9,1
"Myo6",5.35217402902976e-05,1.37376454863327,1,0.9,1
"Slfn9",5.42749972132812e-05,0.792516193192062,0.9,0.9,1
"Ifi208",5.48928082425341e-05,0.948749228098125,0.9,0.8,1
"Gng13",5.58395490399857e-05,0.957109649572873,1,1,1
"Atf5",5.87486359342658e-05,0.712264626821878,1,1,1
"Rtp4",7.12313438398939e-05,0.796584910019973,1,0.9,1
"Psip1",7.27273855712075e-05,1.06433088080204,1,0.9,1
"Siglec1",7.29703980400962e-05,0.827291500811149,0.9,0.9,1
"Cebpg",7.72290478842735e-05,-0.917027977954971,1,1,1
"Oas1g",7.7392822529048e-05,0.918381926790642,1,0.8,1
