"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cnot2",0.00279477975358251,0.462567977562319,0.9,0.9,1
"Mylk",0.00291051610555686,0.859907824455225,1,0.8,1
"Cgas",0.00291381227748918,0.792550651099009,1,0.9,1
"Ceacam1",0.00292852282575684,0.564385901938152,0.8,0.5,1
"Calm1",0.00294731228134548,0.506210782064176,1,1,1
"Nedd4",0.00295267204817386,0.74452507196353,0.9,0.9,1
"F830016B08Rik",0.0029665804150759,0.877551829758906,0.8,0.8,1
"Nt5c3",0.00301772535553801,0.498672099049952,0.9,0.9,1
"Gatad1",0.00305129447784491,0.472741974177256,0.9,0.9,1
"Blm",0.0030869285958453,0.529934432630291,0.9,0.8,1
"Pfkfb4",0.00308968205758901,0.591763250201209,1,0.9,1
"Oas2",0.00309007687313276,0.701217313029225,1,0.9,1
"Ube2l6",0.00310807092158942,0.543143023875246,0.9,0.9,1
"Ascc3",0.00311777412307226,0.415956640285403,1,0.9,1
"Galm",0.00312589894508427,1.03333801382798,0.7,0.8,1
"Sec11c",0.00313800939912389,-0.360250403653411,1,0.9,1
"Gm47664",0.0031550749270358,0.711196162141386,0.9,0.9,1
"Tsr3",0.00315681080839875,0.551386670846186,0.9,0.9,1
"Dop1b",0.00315789820817871,0.538021842819122,0.9,0.9,1
"Tspan13",0.0031701182569297,-0.419703074637362,0.9,0.9,1
"Traf3ip1",0.00317043178141917,0.6071328068313,0.9,0.4,1
"Kcnc4",0.00318363579291206,0.696414846266355,0.6,0.2,1
"Tbca",0.00323393627112685,-0.583798370955897,1,1,1
"Polr2k",0.0032478747428906,-0.36914990617384,0.9,0.9,1
"Gm11992",0.00328260254240912,0.511458820524446,0.7,0.1,1
"Trim14",0.00330231555162735,0.489583476822153,0.9,0.9,1
"Mus81",0.00330752155450881,0.745691598220148,1,0.9,1
"Dut",0.00331154117902321,0.622255412565793,0.9,0.9,1
"Casp8ap2",0.0033867068739183,0.779432709038881,1,0.9,1
"Mrps23",0.00347367843557944,0.802037533194786,1,0.9,1
"Calhm6",0.00348971670536715,0.707182121565166,1,0.9,1
"2010204K13Rik",0.00352253988099754,0.544848986861081,0.7,0.3,1
"Ykt6",0.0035529758243127,0.728680498616748,1,0.9,1
"Snupn",0.00362404034978373,0.686888870130824,0.9,0.9,1
"Socs3",0.00363126487969148,-0.509913948396692,1,0.9,1
"9930111J21Rik2",0.00368080384087338,0.502186854297406,1,0.9,1
"Pcolce2",0.0036893427302669,0.606989966629826,0.6,0.2,1
"Aox2",0.0036994563900438,0.907057090303453,0.6,0.4,1
"Brd7",0.00384100607136122,0.482031879625985,1,0.9,1
"Enox2",0.0038635063352392,0.685691693932118,1,0.9,1
"Rrbp1",0.00392551374827687,0.584316359015682,1,0.9,1
"Rtn1",0.00393119558993445,1.24285372970875,1,0.9,1
"Tnfrsf13b",0.00393705517809388,0.51424711916241,1,0.9,1
"Eif4a1",0.00393733469678372,-0.137477978036176,1,0.9,1
"Syne2",0.00395522094232642,1.07064400885419,1,0.9,1
"Lbr",0.00397123882392742,0.614108205438457,1,0.9,1
"Ofd1",0.00398502896874734,0.681394725032725,1,0.9,1
"Arhgef6",0.0040341141733995,0.530238554337785,1,0.9,1
"Pik3ap1",0.00413657514150878,0.528450288813849,1,0.9,1
"Srprb",0.00414861402350069,0.692117148673277,1,0.9,1
"Ints1",0.00424513507494708,0.594150933403578,0.9,0.9,1
"Kif3c",0.00427776705469048,0.512484342784925,0.9,0.6,1
"Ogfod2",0.00442136127985221,0.567962994338974,0.9,0.8,1
"Gm34455",0.00443511311116592,-0.414439366068767,0.9,0.9,1
"Clec4a1",0.00448099815996662,-0.323879965394672,0.9,1,1
"Tor4a",0.00450459896277824,0.516725567235115,0.9,0.9,1
